2026-01-28 22:57:06 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-01-28 22:57:17 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-01-28 22:57:17 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-01-28 23:06:04 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-01-28 23:07:02 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-01-28 23:07:02 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:38:54 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:39:01 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:39:01 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:39:01 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:39:01 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:39:01 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:39:50 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:39:57 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:39:57 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:39:57 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:39:57 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:39:57 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:40:41 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:40:47 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:40:47 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:40:47 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:40:47 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 17:40:47 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 17:43:34 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:43:38 | ERROR    | _init_client | Failed to initialize ChromaDB: The paging file is too small for this operation to complete. (os error 1455)
2026-02-01 17:44:31 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:44:37 | ERROR    | _init_client | Failed to initialize ChromaDB: The paging file is too small for this operation to complete. (os error 1455)
2026-02-01 17:44:37 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 17:44:39 | ERROR    | _init_client | Failed to initialize ChromaDB: The paging file is too small for this operation to complete. (os error 1455)
2026-02-01 18:33:48 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:34:00 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:34:00 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:34:00 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:34:00 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:34:00 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:34:00 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:34:00 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:34:00 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:40:21 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:40:31 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:40:31 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:40:31 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:40:31 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:40:31 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:40:32 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:40:32 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:40:32 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:43:03 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:43:13 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:43:13 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:43:13 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:43:13 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:43:13 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 18:43:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 18:43:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 18:43:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:25:25 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:25:36 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:25:36 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:25:36 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:25:36 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:25:36 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:25:37 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:25:37 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:25:37 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:30:07 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:30:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:30:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:30:14 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:30:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:30:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:30:14 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:30:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:30:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:38:49 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:38:56 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:38:56 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:38:56 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:38:56 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:38:56 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 22:38:57 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 22:38:57 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 22:38:57 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:13:06 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 23:13:16 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 23:13:16 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:13:16 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 23:13:16 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 23:13:16 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:13:18 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 23:13:18 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 23:13:18 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:18:04 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 23:18:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 23:18:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:18:14 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-01 23:18:14 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-01 23:18:14 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-01 23:18:14 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
